C1	C2	C3	C4
145	88	87	160
165	101	84	146
172	124	112	140
184	100	74	139
167	72	86	129
175	94	103	152
190	90	102	163
168	123	80	151
151	56	76	153
128	88	75	146
161	60	101	144
153	92	75	137
149	76	72	128
147	93	84	127
153	72	75	153
143	86	87	149
149	85	95	154
164	96	79	136
191	122	118	138
182	102	83	136
181	76	86	141
182	94	107	146
182	76	114	161
172	135	89	155
152	60	74	147
117	99	70	154
158	71	92	147
147	97	79	147
137	70	75	130
149	83	79	123
150	74	71	158
147	86	88	137
152	78	89	147
174	103	78	149
177	124	115	145
182	95	84	137
173	69	91	140
193	83	105	151
185	85	104	165
178	120	92	142
151	55	74	143
118	84	79	141
163	67	108	139
149	94	79	137
143	66	65	134
142	84	72	122
141	76	74	164
139	80	91	145
151	79	95	162
167	101	73	147
186	121	105	138
182	98	80	131
168	75	92	141
180	91	95	157
182	93	103	160
174	119	87	151
148	57	80	148
123	85	77	155
160	77	101	151
146	97	84	137
150	70	74	139
146	76	74	126
154	72	75	163
142	86	91	133
155	88	91	161
171	105	75	142
172	128	106	140
180	94	83	136
174	68	92	139
181	96	100	156
174	88	107	155
176	125	95	152
154	59	71	150
126	85	84	143
157	75	97	149
143	89	80	140
150	69	65	141
146	80	81	121
148	74	86	150
151	80	80	141
155	83	96	151
166	97	86	143
179	122	116	140
178	86	82	135
178	73	87	137
178	84	100	155
185	93	112	163
180	118	86	155
150	58	72	152
128	91	76	146
152	74	91	142
158	92	86	132
147	67	73	137
147	88	91	119
150	69	74	156
138	88	83	141
148	76	93	151
164	102	83	143
173	120	110	141
176	87	86	139
162	78	88	138
183	90	102	159
189	91	119	167
176	133	98	143
151	67	75	149
131	85	78	146
145	73	98	144
150	87	84	139
144	80	68	130
147	80	86	122
154	69	81	156
143	83	88	148
162	72	94	151
164	107	82	147
176	123	109	140
178	85	72	137
165	74	94	134
178	89	95	154
191	88	103	161
165	135	90	142
148	56	65	151
134	82	74	140
155	69	97	146
145	91	87	141
142	71	65	139
151	83	86	132
155	69	77	155
137	77	89	140
152	83	92	159
164	101	80	146
176	129	115	140
176	90	82	131
168	73	84	133
188	89	92	158
194	88	109	173
171	127	89	152
157	64	74	153
118	82	68	143
157	65	97	141
136	91	82	141
150	70	70	139
147	74	72	129
154	67	72	154
138	82	87	137
157	82	94	147
162	99	86	152
184	120	112	144
188	87	76	139
159	74	96	136
188	91	105	156
181	92	111	170
166	125	93	142
159	69	70	140
118	84	76	148
150	70	103	137
149	91	91	131
148	67	74	132
133	87	78	126
160	69	79	153
136	81	78	145
145	84	98	157
169	94	74	141
172	130	111	141
184	87	82	137
171	78	99	143
181	86	95	168
178	96	106	158
169	135	88	147
147	61	72	152
128	81	85	153
164	73	96	147
150	85	80	128
147	70	69	130
147	90	85	137
158	78	70	159
134	85	90	151
146	84	101	145
159	95	85	146
175	129	109	148
185	88	84	140
170	75	92	134
179	92	100	162
189	91	109	157
174	124	92	145
153	70	75	146
123	83	81	147
157	66	94	143
152	94	78	139
153	61	66	137
159	82	75	120
151	72	74	157
137	80	91	151
150	84	91	158
171	98	79	146
168	127	107	145
186	87	78	136
171	67	91	133
187	95	101	164
193	90	110	170
175	134	93	156
150	60	75	148
122	92	87	150
151	74	99	141
153	97	83	135
154	70	83	136
151	83	81	127
159	68	71	154
141	87	93	142
151	83	87	154
168	100	81	145
180	124	116	140
180	83	68	135
172	73	92	138
169	84	92	150
184	86	107	162
169	121	87	161
148	65	72	147
121	88	70	146
150	68	89	146
151	91	86	139
141	72	66	144
146	79	78	125
153	72	71	154
148	84	84	153
157	84	105	152
176	97	77	146
174	127	112	143
172	92	81	124
175	60	87	131
177	95	110	157
191	88	111	172
164	135	85	156
155	66	72	146
128	82	73	155
159	66	104	141
154	86	85	134
149	56	73	140
143	84	71	133
152	68	72	160
142	79	87	134
150	86	98	157
154	102	75	153
183	123	111	142
186	98	74	140
174	73	87	136
177	83	103	156
185	86	118	168
172	129	94	147
75	45	21	48
74	35	18	44
77	66	29	39
90	70	21	39
59	30	11	45
80	34	20	61
104	52	48	47
50	42	148	79
79	41	146	78
93	45	139	95
84	43	111	78
76	37	159	88
92	53	142	100
57	27	138	95
88	44	145	100
163	78	76	168
156	68	96	165
129	92	64	158
162	100	53	142
163	67	80	148
136	73	64	135
142	98	56	131
170	91	85	161
150	63	96	124
165	81	80	131
192	100	72	168
202	103	89	165
167	118	108	161
141	113	72	139
172	93	119	134
193	113	75	152
177	101	95	161
188	73	129	154
160	118	92	165
183	98	120	129
157	96	57	152
85	71	7	47
101	60	5	43
78	51	11	25
95	51	11	62
78	45	31	38
75	38	9	18
88	26	30	43
83	68	150	93
65	35	159	121
78	54	131	82
70	29	145	92
70	27	132	89
71	43	161	110
80	44	131	88
83	22	152	116
156	76	71	153
117	94	81	139
154	70	100	145
150	99	84	133
143	69	68	133
143	89	75	126
150	67	78	166
141	87	85	144
154	92	91	156
159	95	86	148
184	128	111	137
184	87	90	138
169	65	90	126
189	87	103	159
192	91	115	158
168	125	91	159
170	120	125	134
175	118	104	146
180	83	101	164
184	94	110	141
178	97	102	161
83	33	15	50
68	26	21	39
73	56	30	39
91	63	34	36
65	22	13	49
89	36	15	62
92	61	47	48
57	27	155	76
75	45	153	79
91	45	134	92
79	41	106	81
78	46	160	89
94	49	133	93
56	28	144	103
90	44	137	99
171	79	73	177
144	61	80	163
142	95	61	150
178	97	59	139
168	63	87	150
127	77	67	126
136	95	54	136
166	79	88	175
140	71	94	123
165	73	94	143
193	105	88	168
204	94	87	158
163	101	109	165
148	113	76	142
164	98	115	127
183	117	63	148
164	99	86	163
175	72	134	160
166	108	96	152
189	104	117	137
154	97	64	157
90	67	16	49
100	71	6	42
91	49	13	31
90	54	14	56
81	48	26	43
73	34	19	33
84	38	35	47
84	63	151	101
78	45	154	121
65	65	145	91
73	26	153	89
67	32	131	82
69	50	161	103
92	38	144	94
75	21	164	116
153	62	74	153
131	93	71	144
157	73	106	147
157	95	81	133
141	70	69	138
138	82	72	131
157	63	71	164
140	83	90	152
152	86	99	155
168	103	79	148
183	126	112	139
192	96	84	138
180	67	91	133
179	93	101	162
179	85	105	156
176	132	91	150
175	124	109	128
186	111	111	149
180	83	111	168
190	102	100	147
186	94	116	150
86	38	8	46
81	37	21	39
71	58	30	40
90	71	21	43
75	27	7	52
85	43	17	56
106	54	44	46
63	29	142	74
82	50	143	90
106	40	147	96
70	37	109	84
77	45	154	87
96	53	140	97
65	34	145	104
92	51	146	97
171	66	81	170
138	65	97	172
132	96	63	157
161	101	58	142
171	67	81	147
132	68	76	146
135	94	43	140
170	84	96	174
147	70	90	135
165	83	81	141
187	97	85	171
194	95	85	158
164	115	109	164
143	114	83	138
181	95	119	137
187	113	73	154
165	104	85	161
182	72	133	168
161	116	87	151
188	111	116	131
153	98	61	166
80	76	6	54
104	69	-6	45
82	49	9	26
83	52	15	65
86	46	28	48
79	41	16	18
87	37	29	50
76	71	149	86
75	50	168	117
76	51	138	94
85	25	152	88
66	35	126	86
74	49	159	103
88	35	133	95
78	32	158	112
156	55	76	145
122	88	76	146
144	66	92	155
154	95	77	132
138	73	76	141
141	86	87	122
158	72	72	156
140	79	91	146
155	94	100	154
171	100	85	146
171	131	108	147
177	79	86	134
169	71	88	138
185	93	107	156
185	90	111	164
162	130	95	152
182	127	110	141
188	117	108	142
174	86	106	166
176	103	105	147
191	94	110	161
148	61	71	154
130	90	75	142
155	71	100	142
150	94	77	140
148	69	74	134
140	81	70	112
154	64	78	153
137	80	85	143
157	88	93	150
172	106	82	150
172	127	115	147
192	91	82	142
180	72	91	137
182	88	101	158
173	87	108	157
169	124	78	152
152	63	73	148
123	97	88	147
163	62	94	141
152	85	83	140
148	72	66	136
144	68	68	131
153	70	79	156
142	87	95	144
151	77	104	154
178	95	86	142
179	128	117	131
178	89	87	133
172	70	92	143
186	91	102	158
179	94	107	158
177	120	87	146
152	63	74	154
128	88	75	145
150	67	104	149
149	101	73	131
145	70	80	134
148	86	82	123
161	65	67	161
139	81	86	145
158	81	99	151
167	98	84	150
168	126	111	133
188	99	89	142
174	70	89	134
184	87	100	162
184	89	102	159
169	129	96	149
146	68	72	147
128	87	80	148
163	77	95	147
137	95	74	138
146	68	70	144
136	81	79	120
153	69	68	161
139	79	83	150
151	86	98	156
168	99	80	148
178	125	112	146
186	82	83	136
171	81	92	136
183	101	101	160
188	92	109	168
171	132	88	151
157	63	72	151
126	98	81	147
143	67	101	147
145	93	83	133
142	76	62	134
152	82	79	121
153	57	72	150
141	83	82	140
143	79	85	145
169	95	84	142
182	118	111	138
182	83	81	142
175	75	92	139
183	81	104	152
191	90	101	162
170	124	90	161
143	64	69	157
133	84	72	145
149	68	99	152
153	103	92	144
128	67	71	128
155	82	74	122
148	70	67	151
128	85	83	143
154	85	96	154
168	100	85	138
178	125	110	137
189	98	80	139
175	72	88	140
179	92	98	157
176	91	105	165
174	118	86	144
148	65	69	149
127	92	76	150
152	68	95	146
158	92	75	134
140	67	78	135
130	80	83	127
154	64	71	152
132	78	86	149
146	78	95	148
168	100	77	142
177	112	116	144
184	87	77	139
175	76	98	135
178	91	104	151
190	90	108	165
170	124	89	152
145	59	71	144
129	91	77	140
160	58	96	145
157	90	74	133
137	76	78	130
152	76	72	129
149	73	75	158
138	83	82	153
147	75	89	156
176	106	79	138
178	126	111	142
193	96	85	134
175	74	88	137
178	91	105	155
177	89	112	163
175	125	90	161
158	50	80	149
128	83	70	151
162	66	94	146
143	101	86	128
139	67	69	138
146	85	73	126
162	67	78	166
137	80	87	145
151	87	95	152
161	105	79	153
176	134	114	133
184	100	83	139
170	72	97	147
187	88	99	155
188	90	107	163
170	132	87	154
147	67	68	157
128	92	77	143
151	66	98	137
153	102	79	129
152	67	83	133
140	84	77	128
146	76	72	155
139	84	90	141
160	86	87	159
170	100	85	146
185	125	113	136
177	95	81	139
165	68	95	135
187	90	99	154
183	89	108	163
167	130	100	150
155	62	74	137
122	82	77	148
158	62	93	144
146	100	72	126
147	70	68	138
142	85	80	122
160	61	72	154
137	76	93	148
156	78	90	151
162	108	73	145
175	121	112	136
183	92	77	132
173	76	89	142
181	87	106	163
191	88	111	158
166	121	87	150
142	63	73	149
130	85	65	150
152	80	100	139
152	96	79	137
138	72	71	135
148	81	70	133
154	70	68	150
135	80	93	134
163	82	97	148
162	101	84	144
176	125	110	139
189	84	89	143
173	75	95	134
179	99	102	166
186	83	108	171
166	123	96	149
158	63	80	149
129	90	83	147
154	71	97	154
137	98	76	137
138	75	72	132
151	91	81	131
151	70	77	153
135	83	85	146
146	82	90	159
157	106	88	148
175	125	117	141
192	96	77	143
172	74	85	136
177	88	103	158
191	97	108	165
170	121	87	150
149	68	74	156
122	91	78	155
160	65	96	141
140	94	76	140
139	65	71	135
149	87	87	128
147	68	69	153
137	79	89	138
138	78	96	167
156	100	77	137
181	125	118	131
181	87	73	146
169	69	90	140
176	97	102	161
184	90	113	166
160	125	89	156
147	65	73	148
123	89	76	144
154	69	101	151
146	98	79	141
143	75	73	135
143	83	76	134
139	66	72	164
149	83	92	147
148	78	93	165
161	95	77	144
183	124	113	133
182	89	94	143
173	69	85	136
178	91	93	162
182	93	108	164
175	131	86	152
157	64	78	150
128	90	79	148
156	74	96	149
152	89	80	135
137	64	80	138
140	79	88	118
161	74	73	162
139	85	87	144
145	84	97	159
160	94	89	138
177	119	106	143
182	95	80	134
169	71	81	137
185	82	105	160
193	97	112	155
170	122	91	148
153	73	74	146
130	88	76	141
146	64	107	153
158	100	78	139
142	69	70	139
135	81	77	118
156	67	67	153
138	90	89	151
146	74	91	160
164	99	82	144
178	116	113	137
185	91	78	136
169	72	89	127
186	96	95	159
190	91	109	158
176	125	89	156
145	67	66	153
128	85	73	151
162	68	99	143
145	91	78	147
147	71	71	138
141	81	81	126
152	66	69	165
134	81	78	145
157	75	89	154
168	101	80	150
189	125	115	136
185	95	82	136
164	65	92	137
181	88	94	156
197	87	107	162
177	120	73	152
142	62	74	152
131	91	77	148
157	77	98	148
144	96	89	141
140	78	69	132
152	84	87	130
149	72	80	156
136	90	86	137
150	80	91	153
167	103	83	140
176	120	108	144
175	99	77	143
172	72	99	139
188	94	104	161
180	93	109	167
174	127	90	148
155	65	73	156
125	91	76	140
150	62	97	142
152	101	78	139
144	63	79	138
131	84	82	127
143	78	62	167
145	80	83	147
148	87	93	148
174	101	82	147
177	124	117	144
174	88	80	134
168	81	95	133
187	91	101	151
190	91	109	165
174	133	100	157
147	65	73	150
133	91	74	148
161	68	94	153
144	94	75	137
138	71	71	137
131	80	80	122
161	68	75	159
133	76	92	139
140	93	93	159
160	101	80	141
183	120	116	148
181	96	79	133
184	70	82	134
187	86	97	157
182	92	103	168
162	124	87	151
148	72	72	150
119	93	70	144
157	68	89	148
142	90	82	139
147	71	65	138
145	73	79	135
151	57	68	153
144	92	83	144
155	87	93	158
170	102	78	149
195	125	115	137
186	91	81	129
173	60	79	134
177	93	91	158
183	90	106	156
161	123	93	153
159	59	67	150
121	88	75	147
159	74	104	138
147	92	86	131
154	75	71	141
145	87	75	119
152	67	73	165
140	82	81	148
149	89	82	153
169	102	83	150
179	120	120	142
190	88	75	136
163	65	94	140
186	92	95	160
193	90	98	177
173	127	92	153
147	60	78	145
126	89	76	148
169	60	97	142
152	96	88	140
139	71	80	138
135	90	79	126
159	67	69	157
137	85	87	148
149	84	92	149
175	96	82	141
176	130	117	144
187	98	83	133
165	83	92	140
174	102	97	157
190	94	110	164
164	128	89	155
157	58	69	149
127	93	81	140
161	74	91	146
145	101	86	134
138	73	73	134
147	80	74	128
150	62	61	160
147	82	86	140
149	87	95	154
174	94	86	144
180	128	114	145
184	91	73	139
162	76	91	139
167	90	97	153
180	90	113	164
184	134	88	154
140	68	75	150
119	86	77	153
153	72	103	150
154	96	81	136
145	67	72	132
147	83	83	117
153	63	70	159
139	84	91	145
148	88	97	149
172	100	82	149
176	120	117	129
183	90	83	135
164	76	89	150
192	94	104	150
186	81	106	165
175	128	91	154
154	63	71	148
131	91	79	145
158	70	103	139
149	97	79	128
153	74	74	136
148	82	85	123
153	66	69	154
140	89	87	150
149	87	89	151
157	96	89	140
176	123	115	139
178	99	84	140
172	74	95	141
185	99	91	149
173	91	105	175
172	124	90	152
